Fuel Type Code,Station Name,Street Address,City,State,Status Code,Groups With Access Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,ID,Updated At,Open Date,EV Connector Types,Country,Access Code,Facility Type,EV Pricing,Restricted Access
ELEC,Champion Parking 74 LLC - Tesla Destination,2109  Broadway,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.780143,-73.98221,115052,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GGMC Parking Seven Eleven (Located at 217 E 44th St) - Tesla Destination,217 E 44th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.752004,-73.972808,115053,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 220 Riverside Blvd - Tesla Destination,220 Riverside Blvd,New York,NY,E,Public,6.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.77975,-73.987272,115054,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,iPark 200 West Garage Corp. - Tesla Destination,220 W 26th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.746142,-73.995221,115055,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Parkit 221 Thompson Street - Tesla Destination,221  Thompson St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.729372,-73.999217,115056,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 225 W 83 Street - Tesla Destination,225  W 83rd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.786371,-73.977357,115058,2021-03-11 23:22:17 UTC,2016-05-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Quik Park Broadway Garage LLC - Tesla Destination,225-251  W 56th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.765735,-73.982101,115059,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,GGMC Yorkville Car Park - Tesla Destination,230 E 92nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.782163,-73.95059,115060,2021-03-11 23:22:17 UTC,2017-03-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Champion Parking 230 W 55th Street - Tesla Destination,230 W 55th St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.764693,-73.982708,115061,2021-03-11 23:22:17 UTC,2016-01-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon Parking 237 West Thames - Tesla Destination,237 W Thames,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.708465,-74.016762,115062,2021-03-11 23:22:17 UTC,2018-11-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
ELEC,Icon 299 Peal Street Seaport Parking - Tesla Destination,238 Pearl St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.70736,-74.004989,115063,2021-03-11 23:22:17 UTC,2016-08-15,J1772 TESLA,US,public,PAY_GARAGE,Free,False
